"TAXON_NAME_ID","SCIENTIFIC_NAME","AUTHOR_TEXT"
204976,"Lichenalia",""
202080,"Polypora shumardi",""
201987,"Spatiopora tuberculata",""
212184,"Lichenalia concentrica",""
198482,"Trematopora",""
210840,"Lichenalia Undet.",""
204213,"Lichenalia undet.",""
239203,"Fenestella membranacia","Phill."
239205,"Fenestella tenuifila?","M'Coy"
239206,"Fenestella fastropa","deKon."
239207,"Fenestella quadriseinatis","M'Coy"
239208,"Fenestella formosa","M'Coy"
239209,"Fenestella oculata","M'Coy"
239210,"Fenestella carinata","M'Coy (sp?)"
241153,"Diastopora",""
241199,"Retepora angulata","Hall"
241261,"Polypora inepta","Hall"
238956,"Ptylopora pluma",""
238957,"Ptylopora gracilis","M'Coy"
238958,"Ptylopora pulchurina","M'Coy"
242964,"Ceriopora mammallata",""
241410,"Retepora vibicata",""
242959,"Stenopora fibrosa","Goldf."
238642,"Heteropora conifera",""
240262,"Cellepora lacunosa","Ph."
240263,"Cellepora incrassulata","Lon."
241632,"Fenestella plebia?","M'Coy"
202043,"Archimedes",""
239526,"Fenestella multiporata","M'Coy"
239527,"Fenestella multiporata?","M'Coy"
239528,"Fenestella polyporata","Phill."
202053,"Ceriopora polymorpha",""
238607,"Retepora reticulata","Lam."
242672,"Dianulites bicollis","Eichw."
239204,"Fenestella tenuifila","M'Coy"
239608,"Clathropora frondosa","Hall"
241530,"Fenestella sp?",""
241531,"Fenestella several sp.",""
241532,"Fenestella sp.?",""
243030,"Polypora halliana","Prout."
243031,"Polypora",""
243032,"Fenestella humitripa","Prout."
243033,"Archimedes wortheni","Hall"
243035,"Archimedes reversa",""
243037,"Archimedes sp. Undet.",""
240518,"Ceriopora mammalata",""
240549,"Callopora aspera","Hall"
243165,"Ceriopora muricata",""
243126,"Archimedes swallorana","Hall"
243894,"Ceriopora spongites",""
243950,"Fenestella favosidea","Hall"
243951,"Phaenopora uniformis","Hall"
240282,"Ceriopora bigeminis","Keyserl."
239413,"Fenestella fraticoides","deKon."
239414,"Fenestella morrisii","M'Coy"
243163,"Cellepora echinara","Mich."
240091,"Ceriopora constellata","Dale owen"
239519,"Fenestella morrisii?","M'Coy"
241983,"Retepora undata?",""
240721,"Callopora elegantula","Hall"
240466,"Retepora antigua","Goldf."
239520,"Fenestella nodulosa","M'Coy"
239521,"Fenestella undulata","Phill."
239522,"Fenestella nodulata","Phill."
239523,"Fenestella goldfussiana","deK."
239524,"Fenestella laxa","M'Coy"
239525,"Fenestella crassa","M'Coy"
240354,"Cellepora globularis","Bronn."
246062,"Fenestella ampla",""
246063,"Fenestella frenla","Lonsd."
246068,"Evactinopora sexradiata","M. & W."
243074,"Reptaria stolonifera","Rolle"
246069,"Evactinopora grandis?","M. & W."
243498,"Retepora asperatostriata","Hall"
243554,"Ceramopora incrustans","Hall"
243559,"Trematopora ostiolata","Hall"
240366,"Lunulites arceolata","Lk."
241885,"Polypora dendroids","M'Coy"
241886,"Retepora undata","M'Coy"
240928,"Retepora diffusa","Hall"
242315,"Stomatopora","Bronn, 1825"
241878,"Fenestella n. sp.","deKon."
241879,"Polypora papillata","M'Coy"
241880,"Polypora verucosa","M'Coy"
241881,"Polypora fastinosa","deKon."
241882,"Polypora n. sp.","de Koninck"
241883,"Polypora spicularis?","Phill."
241884,"Polypora laxa","Phill."
240929,"Ceramopora imbricata","Hall"
242213,"Fenestella sp. Undet.",""
241100,"Trematopora punctata","Hall"
242424,"Polypora incepta","Hall"
242441,"Trematopora tuberculosa","Hall"
242502,"Fenestella plebia","M'Coy"
344636,"Flustrellidridae",""
464545,"Stenolaemata",""
464547,"Cyclostomatida",""
464548,"Tubuliporina",""
274616,"Fenestrellina stellata","(Hall & Simpson)"
274617,"Fenestrellina",""
274598,"Fenestella geinitzi",""
274602,"Stenopora columnaria",""
450008,"Entoprocta",""
450009,"Solitaria",""
450010,"Loxosomatidae",""
450011,"Loxosomella","Mortensen, 1911"
450012,"Loxosomella murmanica"," (Nilus, 1909)"
274838,"Sulcoretepora incisurata","(Hall)"
273747,"Monticulipora varians","James"
274839,"Taeniopora exigua","Nicholsen"
273803,"Lunulites interstitia","Lea"
246043,"Stenopora mackrothi","Gin."
246044,"Stenopora columnaris (var. ramosa)","(Schl. Sp)"
246045,"Stenopora sp.?",""
246060,"Fenestella internata","Lonsdale"
246034,"Stenopora crassa",""
237481,"Hemitrypa",""
237484,"Helopora fragilis",""
221259,"Cellepora","Linnaeus, 1767"
244576,"Reptaria orthocuratum","Rolle"
273120,"Constellaria florida","Ulrich"
245983,"Fenestella periligans","Meek"
244582,"Fenestella (sp.","de K.)"
244584,"Polypora (sp.?)",""
244585,"Fenestella (n. sp.","de K.)"
244586,"Fenestella prisca",""
245987,"Polypora sp. Undet.",""
245316,"Stomatopora sp.?",""
273917,"Ceramopora incrustaus","Hall"
273918,"Sagenella membranacra","Hall"
274899,"Prasopora simulatrix","Ulrich"
290916,"Disporella hispida","(Fleming, 1828)"
290919,"Celleporella hyalina","(Linnaeus, 1767)"
244411,"Fistulipora flabellum","Rominger"
244417,"Polypora varsocrinse","Prout."
290074,"Bugula","Oken, 1815"
194335,"Mesenteripora marginata",""
245111,"Polypora gracilis","Prout."
245121,"Archimedes sp. Indet.",""
245122,"Archimedes owenana","Hall"
273856,"Fenestella shumardi",""
274840,"Hederella filiformis","(Billings)"
273837,"Fenestrellina ct.f. emaciata","(Hall)"
273362,"Hallopora rugosa","(Milne, Edwards & Haime)"
244439,"Ceriopora multiformis",""
273846,"Loculipora",""
273849,"Bryozoa",""
244444,"Ceriopora affinis","Goldf."
237558,"Ceriopora",""
245218,"Fenestella retiformis","(Schl. Sp.)"
244764,"Trematopora spansa","Hall"
244765,"Hornera dichotoma","Hall"
245219,"Fenestella ginitzi","d'Orb"
245220,"Acanthocladia ancips","(Schl. Sp.)"
245233,"Acanthocladia dubia","(Schl. Sp.)"
244860,"Fenestella n.sp?","de Kon."
244861,"Fenestella n. sp?","de Kon."
244862,"Fistulipora compressa","Rominger"
244863,"Callopora sp?","Gray, 1848"
194488,"Ceriopora ovoidea",""
194489,"Ceriopora aequipedis",""
194490,"Ceriopora augustipedis",""
194491,"Ceriopora nummularia",""
194492,"Ceriopora parvipora",""
194493,"Ceriopora fallax",""
194494,"Ceriopora lobifera",""
194495,"Ceriopora spongioides",""
194315,"Bythopora dendrina",""
194316,"Bythopora fruticosa",""
194318,"Monticulipora calceolus",""
201890,"Archimedes reversus",""
244682,"Archimedes sp.?",""
244684,"Polypora sp.?",""
244706,"Fenestella",""
244610,"Callopora punctata","Hall"
344611,"Smittinidae","Levinsen, 1909"
449984,"Selenariidae",""
464534,"Exechonellidae",""
344579,"Bugulidae","Gray, 1848"
344583,"Smittinoidea",""
344584,"Bitectiporidae",""
344585,"Pentapora","Fisher, 1807"
344586,"Pentapora fascialis","(Pallas, 1766)"
344627,"Heteropora","de Blainville, 1830"
344628,"Electridae",""
344629,"Electra",""
344630,"Malacostegina",""
344631,"Neocheilostomatina",""
344632,"Gymnolaemata",""
344633,"Ctenostomatida",""
344612,"Smittina","Norman, 1903"
344613,"Smittina cervicornis","(Pallas, 1766)"
503834,"Nevianipora arcuata","Winston, Vieira & Woollacott, 2014"
503835,"Nevianipora","Borg, 1944"
502100,"Hippothooidea",""
502101,"Hippothoidae",""
502096,"Flustrella","Gray, 1848"
502097,"Flustrella hispida","(Fabricius, 1780)"
502098,"Bugula turrita","(Desor, 1848)"
464535,"Exechonella","Duvergier, 1924"
464627,"Phidoloporidae",""
464628,"Rhynchozoon","Gabb & Horn, 1862"
464629,"Rhynchozoon sexaspinatum","Winston & Woollacott, 2009"
464630,"Stephanollona","Duvergier, 1921"
464631,"Stephanollona propinqua","Winston & Woollacott, 2009"
464632,"Reteporellina","Harmer, 1933"
464633,"Reteporellina directa","Winston & Woollacott, 2009"
464611,"Bryopesanser pesanseris","(Smitt, 1873)"
464610,"Bryopesanser","Tilbrook, 2006"
464612,"Mamilloporoidea",""
464613,"Cleidochasmatidae",""
464614,"Gemelliporina","Bassler, 1926"
464615,"Gemelliporina hastata","Winston & Woollacott, 2009"
464616,"Celleporoidea",""
464617,"Celleporidae",""
464618,"Buffonellaria","Canu & Bassler, 1927"
464619,"Buffonellaria ensifera","Winston & Woollacott, 2009"
464622,"Colatooeciidae",""
464620,"Buskea","Heller, 1867"
464621,"Buskea minutiporosa","(Canu & Bassler, 1928)"
464623,"Cigclisula","Canu & Bassler, 1927"
464624,"Cigclisula gemmea","Winston & Woollacott, 2009"
464625,"Trematooecia","Osburn, 1940"
464551,"Proboscina","Audouin, 1826"
464550,"Oncousoeciidae",""
464552,"Proboscina robusta","Canu & Bassler, 1928"
464553,"Terviidae",""
464554,"Tervia","Jullien, 1883"
464558,"Flustrina",""
464556,"Lichenoporidae",""
464557,"Patinella","Gray, 1848"
464561,"Antropora","Norman, 1903"
464562,"Antropora typica","(Canu & Bassler, 1928)"
464560,"Antroporidae",""
464566,"Caberea",""
464564,"Buguloidea","Gray, 1848"
464565,"Candidae",""
464567,"Caberea hassleri","Winston & Woollacott, 2009"
464568,"Microporoidea",""
464569,"Steginoporellidae",""
464570,"Steginoporella",""
464574,"Cellarioidea",""
464572,"Steginoporella magnilabris","(Busk, 1854)"
464573,"Steginoporella connexa","Harmer, 1900"
464575,"Cellariidae",""
464576,"Cellaria","Ellis & Solander, 1786"
464583,"Exochellidae",""
464577,"Cellaria louisorum","Winston & Woollacott, 2009"
464582,"Lepralielloidea",""
464584,"Exochella","Jullien, 1888"
464585,"Exochella tropica","Winston & Woollacott, 2009"
464586,"Smittoidea","Osburn, 1952"
464589,"Parkermavella",""
464587,"Smittoidea reginae","Winston & Woollacott, 2009"
464588,"Parasmittina barbadensis","Winston & Woollacott, 2009"
464591,"Hippoporina rutelliformis","Winston & Woollacott, 2009"
464590,"Parkermavella salebrosa","Winston & Woollacott, 2009"
464592,"Hippoporina",""
464593,"Metroperiella","Canu & Bassler, 1917"
464594,"Metroperiella agassizi","Winston & Woollacott, 2009"
464595,"Schizoporelloidea",""
464596,"Schizoporellidae",""
464597,"Stylopoma","Levinsen, 1909"
464599,"Stylopoma haywardi","Winston & Woollacott, 2009"
464598,"Stylopoma smitti","Winston, 2005"
464600,"Gigantoporidae",""
464601,"Barbadiopsis","Winston & Woollacott, 2009"
464602,"Barbadiopsis trepida","Winston & Woollacott, 2009"
464603,"Teuchoporidae",""
464604,"Lagenicella",""
464605,"Lagenicella verrucosa","(Canu & Bassler, 1928)"
464608,"Microporella protea","Winston, 2005"
464609,"Escharinidae",""
464626,"Trematooecia turrita","(Smitt, 1873)"
464541,"Cyclostomata",""
464542,"Crisiidae",""
464543,"Crisia","Lamouroux, 1812"
464578,"Cribrilinoidea",""
464579,"Cribrilinidae",""
464580,"Puellina","Jullien, 1886"
464581,"Puellina smitti","Winston, 2005"
466245,"Ptilodictyidae",""
464538,"Parasmittina","Osburn, 1952"
472780,"Conopeum","Gray, 1848"
472781,"Conopeum commensale","Kirkpatrick & Metzelaar, 1922"
472782,"Microporellidae",""
472783,"Microporella","Hincks, 1877"
472784,"Microporella ciliata","(Pallas, 1766)"
502352,"Celleporella","Linnaeus, 1767"
492581,"Bugula stolonifera","Ryland, 1960"
492582,"Flustrellidra","Bassler, 1953"
