"TAXON_NAME_ID","SCIENTIFIC_NAME","AUTHOR_TEXT"
37929,"Architectonica reevi",""
37930,"Rapana thomasiana",""
37931,"Pyrula rapiformis",""
37932,"Rapana rapiformis","(Von Born, 1778)"
37933,"Buccinum canetae","Clench & Aguayo, 1944"
37934,"Cyclopecten reticulus","(Dall, 1886)"
38610,"Agatrix","Mollusks/1919"
38611,"Helix foidens","Pfeiffer, 1845"
38612,"Lepsiella scobina","(Quoy & Gaimard, 1833)"
38613,"Haliotis iris","Gmelin, 1791"
332206,"Achatinella coniformis","Gulick"
37935,"Thala exilis","(Reeve, 1845)"
37936,"Thala mirifica","(Reeve, 1845)"
37937,"Thala angiostoma","Pease, 1868"
37938,"Chaetoderma nitiduluma","Loven"
37939,"Neomphalus fretterae","McLean, 1981"
37941,"Littorina scutulata","Gould, 1849"
37942,"Littorina modesta paytensis","Philippi, 1846"
338268,"Vasum horridum",""
39972,"Helix puella","Broderip, 1841"
39973,"Helix grayana","Pfeiffer, 1842"
39974,"Melania bicolorata","Anthony, 1860"
39975,"Atys bathymophila","Dall, 1881"
37943,"Turritella","Lamarck, 1799"
37945,"Tricolia","Risso, 1826"
37946,"Torinia planulata","Hanl."
37947,"Littorina unifasciata fernandezensis","Rosewater, 1970"
37948,"Littorina keene","Rosewater, 1978"
39976,"Pleurotoma sigsbei","Dall, 1881"
39979,"Arca petunculoides orbiculata","Dall, 1881"
39980,"Helix concinna","Sowerby, 1841"
39981,"Nucula cytherea","Dall, 1881"
39982,"Loripes compressa","Dall, 1881"
39983,"Utriculus frielei","Dall, 1881"
37949,"Imparietula seductilis","(Rossmassler, 1837)"
37950,"Helicella (Xerothracia) pappi","Schutt, 1962"
37951,"Mastus carneolus","(Mousson, 1863)"
37952,"Zebrina fasciolata","(Oliver, 1801)"
37953,"Zebrina eburnea","(Pfeiffer, 1842)"
37954,"Mastus rossmaessleri","(Pfeiffer, 1846)"
39984,"Pleurotoma antonia","Dall, 1881"
39985,"Pleurotoma comatotropis","Dall, 1881"
39986,"Natica fringilla","Dall, 1881"
39987,"Cadulus poculum","Dall, 1889"
39989,"Triforis colon","Dall, 1881"
39991,"Poromya (Dermatomya) equatorialis","Dall, 1908"
39992,"Helix aequatoria","Pfeiffer, 1860"
37955,"Oxychilus deilus","(Bourguignat, 1857)"
37956,"Cyclopecten vancouverensis","(Whiteaves, 1893)"
38593,"Chlamys pusio","(Linnaeus, 1758)"
38594,"Palliolum tigerinum","(Muller, 1776)"
38595,"Palliolum striatum","(Muller, 1776)"
38596,"Chlamys varia","(Linnaeus, 1758)"
39993,"Xymenopsis muriciformis","(King & Broderip, 1832)"
39994,"Corbicula delessertiana",""
37915,"Limea bronniana","Dall, 1886"
37917,"Limea bronniana lata","Dall, 1886"
37918,"Limatula stegeri","Stuardo, 1968"
38597,"Chlamys gemmulata","(Reeve, 1853)"
38598,"Chlamys cumingii","(Reeve, 1853)"
38599,"Mesopeplum caroli","Iredale, 1929"
38600,"Volachlamys cumingii","(Reeve, 1853)"
38601,"Aequipecten glyptus","(Verril, 1882)"
38602,"Comptopallium radula","(Linnaeus, 1758)"
38603,"Chlamys zeelandiae","(Gray, 1843)"
37919,"Parvamussium hoskynsi","(Forbes, 1844)"
37920,"Melania",""
